parameter,back_transformed_value,physical_lower_bound,physical_upper_bound
mu0,0.15439007086549775,0.05,1.0
betaG0,0.4118671035531627,0.1,10.0
betaF0,0.3198759518962202,0.1,10.0
Kn0,0.00857722615919432,0.01,0.1
Kg0,13.72890345177209,0.01,10.0
Kf0,10.662531729874008,0.01,10.0
Kig0,36.98750000000007,10.0,1000.0
Kie0,40.0,10.0,1000.0
Kd0,0.00044,0.0001,0.05
Yxn,11.609981282434642,1.0,100.0
Yxg,30.878014173099547,0.1,10.0
Yxf,30.878014173099547,0.1,10.0
Yeg,0.7621062044568515,0.1,10.0
Yef,0.520506520815326,0.1,10.0
m0,0.01,0.0001,0.05
