,plus_qx_logL2_50
mu0,0.15833767912655589
sN,18.0
qN,0.013509188551069903
qXG,0.10147851098763448
qXF,0.10757831832839375
betaG0,0.41045888673461917
sG,0.03
betaF0,0.30931782963183335
sF,0.03
qEG,0.5185036274305277
qEF,0.5801451185060815
iG,0.0270361608651571
iE,0.025
Kd0,0.00044
m0,0.01
