parameter,back_transformed_value,physical_lower_bound,physical_upper_bound
mu0,0.15537780846777702,0.05,1.0
betaG0,0.3995798062665501,0.1,10.0
betaF0,0.2889247532908035,0.1,10.0
Kn0,0.008632100470432056,0.01,0.1
Kg0,13.31932687555167,0.01,10.0
Kf0,9.63082510969345,0.01,10.0
Kig0,49.53026185419335,10.0,1000.0
Kie0,40.0,10.0,1000.0
Kd0,0.00044,0.0001,0.05
Yxn,11.673660765513253,1.0,100.0
Yxg,2.057944575544106,0.1,10.0
Yxf,1.696203640945555,0.1,10.0
Yeg,0.7639526044398983,0.1,10.0
Yef,0.5555598266323931,0.1,10.0
m0,0.01,0.0001,0.05
