,plus_qx_iG_logL2_50
mu0,0.15758506816941562
sN,18.0
qN,0.013462801755964648
qXG,0.10112724113518154
qXF,0.10720160489827724
betaG0,0.40379662289394064
sG,0.03
betaF0,0.29830149134128164
sF,0.03
qEG,0.5177686088404361
qEF,0.5457132814617889
iG,0.02332576495471872
iE,0.025
Kd0,0.00044
m0,0.01
