parameter,back_transformed_value,physical_lower_bound,physical_upper_bound
mu0,0.15759217991795893,0.05,1.0
betaG0,0.40377941027418285,0.1,10.0
betaF0,0.29829029762711273,0.1,10.0
Kn0,0.008755121106553274,0.01,0.1
Kg0,13.459313675806095,0.01,10.0
Kf0,9.943009920903759,0.01,10.0
Kig0,42.87187884951973,10.0,1000.0
Kie0,40.0,10.0,1000.0
Kd0,0.00044,0.0001,0.05
Yxn,11.705599009062235,1.0,100.0
Yxg,1.5581508325908708,0.1,10.0
Yxf,1.469948336485829,0.1,10.0
Yeg,0.7798741911665726,0.1,10.0
Yef,0.5466291121874625,0.1,10.0
m0,0.01,0.0001,0.05
