profiled_theta,n_success,theta_hat,min_profile_objective,max_lr_stat,crosses_left,crosses_right,chi2_threshold,profile_ci_lower,profile_ci_upper,profile_identifiable,profile_relative_ci_width
betaF0,9,0.3094143987288918,6010.75343907352,842.9389668246058,True,True,3.841458820694124,0.2174023997881486,0.3355525776953837,True,0.38185093645482876
betaG0,10,0.4095834574103576,6010.75343907352,1038.8833242479122,True,True,3.841458820694124,0.3681944858034526,0.5022917287051788,True,0.3273990696537714
mu0,9,0.158858848524967,6010.75343907352,1044.7043227362828,True,True,3.841458820694124,0.1260009949728974,0.16562599457237728,True,0.2494352689032127
qEF,10,0.5792246536797445,6010.75343907352,6243.0646325495,True,True,3.841458820694124,0.1448061634199361,0.9381207756132908,True,1.3696147205639857
qEG,10,0.5158266422872246,6010.75343907352,10821.0978561859,True,True,3.841458820694124,0.1289566605718061,0.9275544403812044,True,1.5481902529662668
qN,10,0.0135460719053021,6010.75343907352,173924.61663945016,True,True,3.841458820694124,0.011003511984217,0.021507023968434,True,0.7753917192854849
