,mu0,qN,betaG0,betaF0,qEG,qEF
mu0,46274.0681563363,-39612.81314166641,33158.013551606164,19347.922863782405,-12785.687519585765,-2657.7062422164736
qN,-39612.81314166641,35793.616172875496,-27369.13384013433,-15966.599397207505,9936.375467778453,1232.6733832313114
betaG0,33158.013551606164,-27369.13384013433,53666.000936896824,34597.29314883807,-38908.36632339659,-21220.98855677436
betaF0,19347.922863782405,-15966.599397207505,34597.29314883807,22870.63473513464,-26143.07380365461,-14888.940756721075
qEG,-12785.687519585765,9936.375467778453,-38908.36632339659,-26143.07380365461,34377.17085806927,19485.101069997378
qEF,-2657.7062422164736,1232.6733832313114,-21220.98855677436,-14888.940756721075,19485.101069997378,14032.575941702667
