,mu0,qN,betaG0,betaF0,qEG,qEF
mu0,46157.43960077995,-39594.60216576212,32968.645787842135,19214.45162590487,-12811.197906993908,-2582.8651883886223
qN,-39594.60216576212,35845.9235918576,-27388.278719304304,-15981.091571287194,10127.513542429511,1248.2482606848896
betaG0,32968.645787842135,-27388.278719304304,53585.89382451178,34538.119075860894,-39018.29438756986,-21245.172859505885
betaF0,19214.45162590487,-15981.091571287194,34538.119075860894,22832.956360828473,-26205.63357192702,-14903.07404741009
qEG,-12811.197906993908,10127.513542429511,-39018.29438756986,-26205.63357192702,34537.14233556996,19534.92766843634
qEF,-2582.8651883886223,1248.2482606848896,-21245.172859505885,-14903.07404741009,19534.92766843634,14074.257305095909
