direction,fim_eigenvalue,relative_eigenvalue,dominant_parameters,dominant_loadings,dominant_abs_loadings
1,18.214094571788543,0.0001193143115577203,"iG, qEF, betaF0, betaG0, qEG","+0.902, +0.333, +0.201, +0.166, +0.082","0.902, 0.333, 0.201, 0.166, 0.082"
2,147.82249214213837,0.0009683346494754611,"betaF0, qEF, iG, qEG, betaG0","-0.845, -0.286, +0.284, -0.246, +0.197","0.845, 0.286, 0.284, 0.246, 0.197"
3,315.29705122382893,0.002065403276274762,"betaG0, qEG, mu0, qEF, iG","-0.736, -0.444, +0.351, -0.242, +0.237","0.736, 0.444, 0.351, 0.242, 0.237"
4,1014.5518902756501,0.0066459828596320035,"qN, mu0, qEF, betaG0, betaF0","+0.760, +0.587, +0.177, +0.170, -0.108","0.760, 0.587, 0.177, 0.170, 0.108"
5,2307.259153493875,0.015114066548812151,"qEF, qEG, iG, mu0, betaF0","+0.728, -0.622, -0.178, -0.164, -0.138","0.728, 0.622, 0.178, 0.164, 0.138"
6,48962.027966388836,0.3207335196517477,"mu0, qN, qEG, qEF, betaG0","+0.548, -0.509, +0.446, +0.389, -0.205","0.548, 0.509, 0.446, 0.389, 0.205"
7,152656.41090320644,1.0,"betaG0, mu0, qEG, betaF0, qN","-0.566, -0.444, +0.387, -0.386, +0.376","0.566, 0.444, 0.387, 0.386, 0.376"
