parameter,nominal,lower_bound,upper_bound,theta_minus,theta_plus,delta,minus_pct,plus_pct,mode,n_common_predictions,n_missing_sensitivities,used_in_q_matrix,dropped_from_q_reason
mu0,0.1568304913955837,0.05,1.0,0.14114744225602532,0.1725135405351421,0.031366098279116766,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
qN,0.0134153553148961,0.0005,1.0,0.01207381978340649,0.014756890846385711,0.002683071062979221,-0.10000000000000009,0.10000000000000009,central_clipped,286,0,True,
betaG0,0.3950395346620634,0.1,10.0,0.35553558119585704,0.43454348812826976,0.07900790693241272,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
betaF0,0.2834958243326065,0.1,10.0,0.25514624189934587,0.3118454067658672,0.05669916486652132,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
qEG,0.5138651627122065,0.01,100.0,0.46247864644098585,0.5652516789834272,0.10277303254244136,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
qEF,0.5022583722548266,0.01,100.0,0.452032535029344,0.5524842094803093,0.10045167445096531,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
iG,0.0188579076202898,0.001,0.1,0.01697211685826082,0.02074369838231878,0.0037715815240579598,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
