,mu0,qN,betaG0,betaF0,qEG,qEF,iG,qXG,qXF
mu0,10639.101351610681,-7881.401637247184,7366.1319896463065,4269.972727156035,-3054.115948810007,-851.5830457249339,-1430.5689086208095,-168.98412564463905,-69.93230509692259
qN,-7881.401637247184,6566.730834513267,-5539.927658372168,-3239.5147886892883,2310.937062029614,549.0223816330058,1109.4611594427379,128.24612011529246,46.87499473800693
betaG0,7366.1319896463065,-5539.927658372168,8609.697930438531,5213.093883276196,-5703.309708350692,-2501.0595276578606,-1052.133246843036,-322.03955826860806,-184.89526028548778
betaF0,4269.972727156035,-3239.5147886892883,5213.093883276196,3214.0838546487144,-3532.100477464506,-1644.8523117422897,-593.9324254025844,-198.94739665162274,-120.77943394117949
qEG,-3054.115948810007,2310.937062029614,-5703.309708350692,-3532.100477464506,4796.130424009698,2097.9048272039213,497.6695808322124,271.9780893858448,150.09292961607173
qEF,-851.5830457249339,549.0223816330058,-2501.0595276578606,-1644.8523117422897,2097.9048272039213,1400.7539834685856,56.692875841914436,119.31353421261078,102.61731211864753
iG,-1430.5689086208095,1109.4611594427379,-1052.133246843036,-593.9324254025844,497.6695808322124,56.692875841914436,225.2867715148667,27.65737645868205,3.707756540774885
qXG,-168.98412564463905,128.24612011529246,-322.03955826860806,-198.94739665162274,271.9780893858448,119.31353421261078,27.65737645868205,15.635015959713382,8.612814627325747
qXF,-69.93230509692259,46.87499473800693,-184.89526028548778,-120.77943394117949,150.09292961607173,102.61731211864753,3.707756540774885,8.612814627325747,8.063069968298331
