candidate,family,batch_template,parameters,temperature_c,pulse_times_h,pulse_amounts_kg_m3,total_pulse_kg_m3,status,error,new_logdet,new_min_eigenvalue,new_min_relative_eigenvalue,new_condition_number,new_trace,new_trace_inv,new_diag_qXG,new_diag_qXF,new_diag_iG,combined_logdet,combined_min_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace,combined_trace_inv,combined_diag_qXG,combined_diag_qXF,combined_diag_iG,posterior_var_ratio_qXG,posterior_var_reduction_qXG,posterior_var_ratio_qXF,posterior_var_reduction_qXF,posterior_var_ratio_iG,posterior_var_reduction_iG,weak_mean_var_reduction,weak_worst_var_reduction
low_temp_growth_separation,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF, sN, sG, sF","15, 17, 20, 22","0, 32.2, 64.4, 92, 92","0.07, 0.07, 0.06, 0, 0",0.2,ok,,39.312244490438935,0.10931406696340203,4.292253610925134e-06,232977.8458231559,35861.747521969715,20.779521515748655,14.478956395900724,7.97517184329925,163.96353442851262,65.71944095251582,1.5320825952176267,8.581906834172139e-06,116524.22000412754,244076.4521523183,1.3431392048316573,57.986352404837405,31.432269567532067,1425.646656898687,0.3530639415320371,0.6469360584679629,0.44965112466677587,0.5503488753332242,0.5676025685032285,0.43239743149677146,0.5432274550993195,0.43239743149677146
lhs_07,lhs,25170,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF, sN, sG, sF","22.4, 24.3, 21.3, 22.4","126, 140, 219, 248, 248","0.1, 0.03815, 0.04088, 0, 0",0.17903000000000002,ok,,44.161765407719756,0.1564540510823037,1.929476374907621e-06,518275.32744363236,99446.07247202916,16.606051723276263,42.66317443847963,22.674558165929277,208.40594845680835,66.58702595609077,1.5649679169692698,6.9478929431276796e-06,143928.52742342887,307660.77710237773,1.1786029149014507,86.17057044741631,46.131655890162094,1470.089070926983,0.3490537761688321,0.6509462238311678,0.4142064506062047,0.5857935493937954,0.09334339002721763,0.9066566099727824,0.7144654610659151,0.5857935493937954
ramp_down_frontload,manual,25085,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF, sN, sG, sF","25, 22, 18, 15","0, 21.6, 50.4, 93.6, 144","0.08, 0.06, 0.04, 0.02, 0",0.2,ok,,27.612453993732593,0.01786982563553863,5.030025841132304e-07,1988061.3571060523,42215.25678736444,79.26286824108904,49.04419597054122,27.95913109363654,42.01683315910536,65.57619039778663,1.0958637413181904,6.044792528013376e-06,165431.6496994233,250429.96141771297,1.2346660433151322,92.5515919794779,51.41622881786935,1303.6999556292799,0.2849913219576889,0.715008678042311,0.4292743166063512,0.5707256833936488,0.5887927156003915,0.4112072843996085,0.5656472152785228,0.4112072843996085
hot_start_cool_finish,manual,25085,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF, sN, sG, sF","25, 25, 18, 15","0, 28.8, 64.8, 144, 144","0.1, 0.06, 0.04, 0, 0",0.2,ok,,28.41691049002911,0.022314279780416856,6.221145736790987e-07,1607420.95155582,42896.729468873215,67.87224107181804,50.434552363639156,28.954076960413826,39.68973697819584,65.72057330321233,1.0664436089007336,5.887305054621114e-06,169857.00430370454,251111.43409922175,1.273004813800728,93.94194837257584,52.41117468464664,1301.3728594483705,0.29301861071995694,0.7069813892800431,0.4388014424668515,0.5611985575331485,0.5935543376798328,0.4064456623201672,0.5582085363777862,0.4064456623201672
