ensemble_member,preliminary_information_gain,optimized_information_gain
0,9.980853284396414,11.023154149081893
1,6.941767857189994,9.016522309989654
2,7.8251644383060075,7.160496214122855
3,8.512204099639849,2.2670688816783624
4,6.161310586801509,2.547558379341414
5,11.074560373284516,10.49326532933133
6,6.521122539002047,5.723209183861371
7,5.218430669557918,5.819335830717005
8,8.997407133207297,5.139482063930295
9,10.643367774211391,10.311188679419057
10,10.92777032217618,7.641233586266427
11,11.462276328144782,6.930513709120344
12,12.824619785389949,15.51478463802676
13,6.427187835597074,2.6937347400953797
14,5.475417435554263,5.854743306851827
15,2.226960371744287,1.9491406440162393
16,11.566135518764355,12.010522475230793
17,11.086478963179513,10.509010254386158
18,5.765472835461619,7.020383742940492
19,5.215491959047402,5.329935626894823
20,8.714034851331007,11.299246783933732
21,8.144587422549609,9.397913384917398
22,8.465361132653513,9.2853206004404
23,14.979998394629568,11.549368229037114
24,8.157740473766403,8.230643451732156
25,5.312808496470595,5.463799565003605
26,6.417351407116282,7.081708697618062
27,6.707760491912946,6.6200321446087855
28,9.830169219744548,4.475009457865056
29,8.031603118244966,9.05930100551295
30,3.458774544992643,3.641527681751569
31,5.16034648380154,5.132856149804706
32,8.940684458050548,10.631119381668292
33,5.230496373552086,3.271560200105778
34,8.153706568524914,2.6535426539033793
35,11.516424164869932,9.403312787157777
36,6.763524733082807,6.13636113128662
37,8.698686550577424,9.35728802032715
38,6.186857389480984,6.3153912320823515
39,9.30184304083852,9.834557259248935
40,6.299874283265449,7.045602471691147
41,7.983839038024236,6.905643947190946
42,7.1209738567332295,7.671475601083085
43,9.788114659282307,10.904657506602135
44,11.276172301500523,4.97752410093522
45,3.3597056305866104,4.283446895043497
46,7.9505906572955425,8.509029863943422
47,6.979530383803898,8.621111227333522
48,7.320689928931685,6.955919872752226
49,7.052560221517691,7.804944119649164
50,5.380271144789766,5.9118996538812105
51,10.218197598895372,10.973180724075405
52,8.488636758909799,8.112524945114469
53,11.285091618877388,14.180455062310152
54,8.068150220740204,9.07399247430888
55,10.162019452714247,10.809521817389012
56,2.4202768745990255,3.461368498193295
57,0.28764488149705514,0.9478712481979592
58,11.448551400782762,9.476324246621285
59,7.5977898116347795,8.529616141210251
60,5.703105386241255,2.5129731398533792
61,6.3804470444544386,6.3474950274900515
62,5.23327882604465,6.642547923181354
63,6.544348498863801,5.872639766160528
