"relative_path","Length","LastWriteTime"
"manifest.csv","0","13-06-2026 19:10:16"
"README.md","5319","13-06-2026 19:09:56"
"diag\secondary_fit_capacity_report.md","19953","09-06-2026 17:30:16"
"diag\secondary_v2_model_report.md","6248","09-06-2026 17:09:15"
"rec\campaign_protocol.csv","2389","09-06-2026 23:35:19"
"rec\candidate_rankings_all_policies.csv","105066","09-06-2026 23:35:18"
"rec\current_prior_estimability.csv","2754","09-06-2026 23:22:48"
"rec\daily_workload_summary.csv","622","09-06-2026 23:47:08"
"rec\fermentation_final_operational_doe_volume_constrained.executed.ipynb","1687262","13-06-2026 19:08:43"
"rec\fermentation_final_operational_doe_volume_constrained.ipynb","13338","13-06-2026 19:08:15"
"rec\lot_1_protocol.csv","932","09-06-2026 23:47:08"
"rec\lot_1_schedule.csv","17526","09-06-2026 23:47:08"
"rec\lot_2_protocol.csv","975","09-06-2026 23:47:08"
"rec\lot_2_schedule.csv","15959","09-06-2026 23:47:08"
"rec\lot_3_protocol.csv","932","09-06-2026 23:47:08"
"rec\lot_3_schedule.csv","16078","09-06-2026 23:47:08"
"rec\operational_schedule.csv","49285","09-06-2026 23:35:19"
"rec\policy_summary.csv","1492","09-06-2026 23:35:19"
"rec\post_campaign_estimability.csv","3011","09-06-2026 23:35:19"
"rec\selected_campaign.csv","26565","09-06-2026 23:35:19"
"rec\stock_concentration_assumptions.csv","561","09-06-2026 23:35:19"
"rec\volume_audit.csv","855","09-06-2026 23:35:19"
"rec\volume_constrained_doe_report.md","32840","09-06-2026 23:37:01"
"rec\notebook_plots\doe_01.png","228846","13-06-2026 19:08:28"
"rec\notebook_plots\doe_02.png","249507","13-06-2026 19:08:30"
"rec\notebook_plots\doe_03.png","233488","13-06-2026 19:08:32"
"rec\notebook_plots\doe_04.png","239501","13-06-2026 19:08:34"
"rec\notebook_plots\doe_05.png","232154","13-06-2026 19:08:35"
"rec\notebook_plots\doe_06.png","229692","13-06-2026 19:08:37"
"rec\notebook_plots\doe_07.png","245265","13-06-2026 19:08:39"
"rec\notebook_plots\doe_08.png","230161","13-06-2026 19:08:40"
"rec\notebook_plots\doe_09.png","238104","13-06-2026 19:08:42"
"rec\plots\volume_profile_natural_glucose_pulse_after_growth.png","49353","09-06-2026 23:35:19"
"rec\plots\volume_profile_synthetic_fast_CO2_aroma_strip_highN.png","49520","09-06-2026 23:35:19"
"rec\plots\volume_profile_synthetic_fructose_rich_glucose_pulse.png","49561","09-06-2026 23:35:19"
"rec\plots\volume_profile_synthetic_glucose_rich_fructose_pulse.png","49596","09-06-2026 23:35:19"
"rec\plots\volume_profile_synthetic_high_biomass_low_N_maintenance.png","50845","09-06-2026 23:35:20"
"rec\plots\volume_profile_synthetic_high_sugar_reference.png","47397","09-06-2026 23:35:20"
"rec\plots\volume_profile_synthetic_lit_SM410_18C_highN_ester.png","49496","09-06-2026 23:35:20"
"rec\plots\volume_profile_synthetic_lit_SM410_24C_highN_strip.png","48556","09-06-2026 23:35:20"
"rec\plots\volume_profile_synthetic_viable_biomass_step.png","48422","09-06-2026 23:35:20"
"ref\fermentation_final_operational_doe_v2.executed.ipynb","1828577","09-06-2026 18:31:41"
"ref\final_operational_doe_v2_report.md","85939","09-06-2026 18:36:01"
"ref\policy_summary_unconstrained.csv","1489","09-06-2026 18:28:45"
"ref\pyomo_core_reduced11_checks.csv","887","09-06-2026 18:33:50"
"scripts\run_final_operational_doe_v2.py","35078","09-06-2026 18:15:38"
"scripts\run_final_operational_doe_volume_constrained.py","25628","09-06-2026 23:22:22"
