policy,action,time_h,value,unit,canonical_effective_action
anchor_18C,temperature_setpoint,0.0,18.0,degC,True
anchor_18C,nutrition,48.0,80.0,mgYAN/L,True
refined_2_A,temperature_setpoint,0.0,20.927218391127017,degC,True
refined_2_A,temperature_setpoint,144.0,19.666710989241835,degC,True
refined_2_A,nutrition,0.0,79.99999910996878,mgYAN/L,True
refined_2_A,nutrition,8.0,79.99999856440085,mgYAN/L,True
refined_2_A,nutrition,96.0,67.01074862987996,mgYAN/L,True
refined_2_B,temperature_setpoint,0.0,21.794556586893947,degC,True
refined_2_B,temperature_setpoint,48.0,24.99999943866613,degC,True
refined_2_B,temperature_setpoint,132.0,21.90002423089778,degC,True
refined_2_B,temperature_setpoint,144.0,19.471777195311603,degC,True
refined_2_B,temperature_setpoint,156.0,17.400002841398024,degC,True
refined_2_B,nutrition,0.0,79.99999985759797,mgYAN/L,True
refined_2_B,nutrition,24.0,79.99999877649763,mgYAN/L,True
