variable_index,value
0,22.04732782203417
1,0.17957068239321616
2,0.0
3,0.0
4,1.0
5,11.312382546447191
6,0.0
7,2.4810397210350175
8,12.496157232132854
9,16.159142450085177
10,25.0
11,15.0
12,24.466669254825607
13,1.0
14,1.0
15,1.0
16,12.0
17,2.1625065125667486
18,0.0
19,80.0
20,80.0
21,80.0
22,25.0
23,0.9048379355348687
24,0.9000987785363532
25,1.0
26,1.0
27,13.0
28,13.0
29,13.0
30,3.7993218461663028
31,15.0
32,18.27178611911148
33,23.100018066083184
34,21.275998191865565
35,0.9910709724091892
36,1.0
37,0.0
38,3.484667655117821
39,0.0
40,12.0
41,80.0
42,80.0
43,12.706321950794443
