variable_index,value
0,20.927218391127017
1,1.0
2,0.0
3,0.0
4,0.0
5,12.0
6,0.0
7,0.0
8,0.0
9,19.666710989241835
10,0.0
11,0.0
12,0.0
13,1.0
14,1.0
15,1.0
16,0.0
17,2.0
18,12.0
19,79.99999910996878
20,79.99999856440085
21,67.01074862987996
22,21.794556586893947
23,1.0
24,1.0
25,1.0
26,1.0
27,4.0
28,11.0
29,12.0
30,13.0
31,24.99999943866613
32,21.90002423089778
33,19.471777195311603
34,17.400002841398024
35,1.0
36,1.0
37,0.0
38,0.0
39,3.0
40,0.0
41,79.99999985759797
42,79.99999877649763
43,0.0
