,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,gammaG0,gammaF0
mu0,114823.57859761735,928.0870382051612,-68366.72472835235,813.1293220459229,2217.54876992906,6775.894567935905,8011.236147385953,6767.080857253554,5207.71344860062,27374.53292817682,43221.51258439283,-6635.905292549467,-17561.508392648135,873.6833212322628,438.99968840668635,8592.110240468492,434.8883109780068
sN,928.0870382051612,19.277214298323607,-89.60500034045519,8.493991869132355,15.271370965402868,40.7826290958117,64.38037715349533,51.01691293979751,25.663101706775286,261.1055660776908,212.70256635863734,-40.97675462488092,-101.64497867333984,7.808327822511404,2.3292354004922458,65.61852696806943,3.172133069014293
qN,-68366.72472835235,-89.60500034045519,66809.38687432307,-413.3064280585662,-1656.1014715714232,-2814.6284923523012,-4763.46551789339,-2421.621294672519,-4146.998330041121,-16289.163136824915,-36505.82598359143,4891.444462632598,12789.764226470335,-340.84383328976855,-359.4517240371302,-4606.640255972326,-234.69071023425747
qXG,813.1293220459229,8.493991869132355,-413.3064280585662,55.06272943893406,23.651546608300475,-792.4109175930562,143.30639986345662,-559.5752486486334,-12.901558703839916,2131.494185939224,532.2867610999976,6.1572684976892385,-110.20885299647748,-53.35352928821538,10.710833975429258,-415.23212660969716,-29.636689621604024
qXF,2217.54876992906,15.271370965402868,-1656.1014715714232,23.651546608300475,232.20737507630685,-1035.8892204570038,-6.755471911542721,-1090.7631050793639,235.66612864164932,1060.048707569561,3668.000499571533,-392.47520006593385,-490.59397383975784,-91.27812766119496,31.698303941386573,-23.85388531100773,-1.7800013659865686
betaG0,6775.894567935905,40.7826290958117,-2814.6284923523012,-792.4109175930562,-1035.8892204570038,47794.52377475157,490.04200911116624,37742.40424162149,1507.7988663563765,-43301.12216843584,-26488.11093670061,-1660.6671636795345,-2595.6078465641704,4448.760782627425,-360.582891035772,-3281.1183041555005,-175.19697801934925
sG,8011.236147385953,64.38037715349533,-4763.46551789339,143.30639986345662,-6.755471911542721,490.04200911116624,1858.441934051358,1530.829011218852,144.34595899857422,5834.852676261685,-205.68063752281822,-205.94514078984835,-1736.316845746188,295.322189475921,15.384755727710374,2053.6101881303484,108.99074941013127
betaF0,6767.080857253554,51.01691293979751,-2421.621294672519,-559.5752486486334,-1090.7631050793639,37742.40424162149,1530.829011218852,33646.321957030304,775.0220012876985,-31290.65354990067,-27950.643347999325,-731.8767755892494,-2245.5654543452165,3779.3233808893483,-338.33537170179966,-835.2786076916732,-49.23488939697786
sF,5207.71344860062,25.663101706775286,-4146.998330041121,-12.901558703839916,235.66612864164932,1507.7988663563765,144.34595899857422,775.0220012876985,777.2909482475736,-1038.654820227865,5243.9445558761745,-732.5842539770186,-1483.7076156974863,137.61149484249853,41.508023736317156,107.08700391476958,7.793592131631325
qEG,27374.53292817682,261.1055660776908,-16289.163136824915,2131.494185939224,1060.048707569561,-43301.12216843584,5834.852676261685,-31290.65354990067,-1038.654820227865,103358.2504812476,27048.928975684204,723.8687690143363,-3847.405276417662,-3409.5166045880496,539.758853016844,-24150.73799479555,-1701.6725032964412
qEF,43221.51258439283,212.70256635863734,-36505.82598359143,532.2867610999976,3668.000499571533,-26488.11093670061,-205.68063752281822,-27950.643347999325,5243.9445558761745,27048.928975684204,80573.10505551007,-6745.353540420095,-11400.69804830038,-2702.6211494265954,757.6316096959771,-647.9597785248122,-49.66173083010426
iG,-6635.905292549467,-40.97675462488092,4891.444462632598,6.1572684976892385,-392.47520006593385,-1660.6671636795345,-205.94514078984835,-731.8767755892494,-732.5842539770186,723.8687690143363,-6745.353540420095,1173.3877182717642,1714.6467341718223,-148.5952804181885,-48.94398836964592,-78.6101693282743,-5.270702830819178
iE,-17561.508392648135,-101.64497867333984,12789.764226470335,-110.20885299647748,-490.59397383975784,-2595.6078465641704,-1736.316845746188,-2245.5654543452165,-1483.7076156974863,-3847.405276417662,-11400.69804830038,1714.6467341718223,4714.0530015977565,-421.69540922943935,-108.14756814439446,-1831.7158747213316,-97.22669378591732
Kd0,873.6833212322628,7.808327822511404,-340.84383328976855,-53.35352928821538,-91.27812766119496,4448.760782627425,295.322189475921,3779.3233808893483,137.61149484249853,-3409.5166045880496,-2702.6211494265954,-148.5952804181885,-421.69540922943935,2368.9179908498077,-35.393352861795904,-71.50968005557822,-4.586803786686746
m0,438.99968840668635,2.3292354004922458,-359.4517240371302,10.710833975429258,31.698303941386573,-360.582891035772,15.384755727710374,-338.33537170179966,41.508023736317156,539.758853016844,757.6316096959771,-48.94398836964592,-108.14756814439446,-35.393352861795904,8.230291066743431,-74.66068651678013,-5.17637173734791
gammaG0,8592.110240468492,65.61852696806943,-4606.640255972326,-415.23212660969716,-23.85388531100773,-3281.1183041555005,2053.6101881303484,-835.2786076916732,107.08700391476958,-24150.73799479555,-647.9597785248122,-78.6101693282743,-1831.7158747213316,-71.50968005557822,-74.66068651678013,36657.6299052555,2322.5909373458117
gammaF0,434.8883109780068,3.172133069014293,-234.69071023425747,-29.636689621604024,-1.7800013659865686,-175.19697801934925,108.99074941013127,-49.23488939697786,7.793592131631325,-1701.6725032964412,-49.66173083010426,-5.270702830819178,-97.22669378591732,-4.586803786686746,-5.17637173734791,2322.5909373458117,158.85633868792175
