parameter,n_success,max_lr_stat,crosses_left_95,crosses_right_95,profile_identifiable_95,chi2_95_threshold
betaF0,6,1062.6307308691757,True,True,True,3.841458820694124
betaG0,6,407.68650504847756,True,False,False,3.841458820694124
iE,6,423.22113908194297,True,True,True,3.841458820694124
iG,6,193.23981224630552,True,True,True,3.841458820694124
mu0,6,3051.0807475704896,True,True,True,3.841458820694124
qEF,6,5272.555633098309,True,True,True,3.841458820694124
qEG,6,6923.70777798062,True,True,True,3.841458820694124
qN,6,5911.774168209078,True,True,True,3.841458820694124
