profiled_parameter,theta_hat,theta_value,success,objective,lr_stat,chi2_95_threshold,error
m0,0.0045192368007999,0.00225961840039995,True,26084.011855623907,0.0,3.841458820694124,
m0,0.0045192368007999,0.003954332200699912,True,26123.79941366134,0.36362719858880155,3.841458820694124,
m0,0.0045192368007999,0.0045192368007999,True,26123.410354444237,0.0,3.841458820694124,
m0,0.0045192368007999,0.005649046000999875,True,26075.31311565347,0.0,3.841458820694124,
m0,0.0045192368007999,0.007343759801299837,True,25951.752544502462,0.0,3.841458820694124,
m0,0.0045192368007999,0.0090384736015998,True,26108.83612460543,0.0,3.841458820694124,
sN,22.822304600584857,11.411152300292429,True,26129.386160569666,5.950374106912932,3.841458820694124,
sN,22.822304600584857,19.96951652551175,True,26123.911030742016,0.47524427926327917,3.841458820694124,
sN,22.822304600584857,22.822304600584857,True,26104.544623768415,0.0,3.841458820694124,
sN,22.822304600584857,28.52788075073107,True,25767.661609070285,0.0,3.841458820694124,
sN,22.822304600584857,37.08624497595039,True,25857.70170431771,0.0,3.841458820694124,
sN,22.822304600584857,45.644609201169715,True,26108.144391669084,0.0,3.841458820694124,
gammaF0,0.0031236775464779,0.00156183877323895,True,26131.877083557014,8.441297094261245,3.841458820694124,
gammaF0,0.0031236775464779,0.0027332178531681624,True,26089.700280850462,0.0,3.841458820694124,
gammaF0,0.0031236775464779,0.0031236775464779,True,26095.81724377002,0.0,3.841458820694124,
gammaF0,0.0031236775464779,0.003904596933097375,True,26129.34478714649,5.90900068373594,3.841458820694124,
gammaF0,0.0031236775464779,0.005075976013026587,True,26141.51816571452,18.082379251765815,3.841458820694124,
gammaF0,0.0031236775464779,0.0062473550929558,True,26137.571654079948,14.13586761719489,3.841458820694124,
qXG,0.0830335046613047,0.04151675233065235,True,25946.59992146935,0.0,3.841458820694124,
qXG,0.0830335046613047,0.0726543165786416,True,26122.76398948006,0.0,3.841458820694124,
qXG,0.0830335046613047,0.0830335046613047,True,26101.34033722534,0.0,3.841458820694124,
qXG,0.0830335046613047,0.10379188082663088,True,25826.767454467175,0.0,3.841458820694124,
qXG,0.0830335046613047,0.13492944507462012,True,26059.859514982036,0.0,3.841458820694124,
qXG,0.0830335046613047,0.1660670093226094,True,26079.1748665224,0.0,3.841458820694124,
qXF,0.1470884666435773,0.07354423332178865,True,26141.29322439525,17.857437932496396,3.841458820694124,
qXF,0.1470884666435773,0.12870240831313012,True,26135.094144344363,11.658357881609845,3.841458820694124,
qXF,0.1470884666435773,0.1470884666435773,True,26118.09082592092,0.0,3.841458820694124,
qXF,0.1470884666435773,0.18386058330447164,True,26083.378249680496,0.0,3.841458820694124,
qXF,0.1470884666435773,0.2390187582958131,True,26023.03472721052,0.0,3.841458820694124,
qXF,0.1470884666435773,0.2941769332871546,True,25938.751679004465,0.0,3.841458820694124,
sF,0.0509012129452155,0.02545060647260775,True,26654.470462566358,531.0346761036053,3.841458820694124,
sF,0.0509012129452155,0.04453856132706356,True,26215.844901849858,92.40911538710498,3.841458820694124,
sF,0.0509012129452155,0.0509012129452155,True,26121.298039076057,0.0,3.841458820694124,
sF,0.0509012129452155,0.06362651618151938,True,25996.250857407285,0.0,3.841458820694124,
sF,0.0509012129452155,0.08271447103597518,True,25794.4454015194,0.0,3.841458820694124,
sF,0.0509012129452155,0.101802425890431,True,25727.76714251598,0.0,3.841458820694124,
iG,0.0033029878376235,0.00165149391881175,True,26013.202656515034,0.0,3.841458820694124,
iG,0.0033029878376235,0.002890114357920562,True,26019.67482700493,0.0,3.841458820694124,
iG,0.0033029878376235,0.0033029878376235,True,26119.55821471685,0.0,3.841458820694124,
iG,0.0033029878376235,0.004128734797029375,True,26050.726634945106,0.0,3.841458820694124,
iG,0.0033029878376235,0.005367355236138187,True,26209.243200370147,85.80741390739422,3.841458820694124,
iG,0.0033029878376235,0.006605975675247,True,26252.48040281798,129.04461635522603,3.841458820694124,
Kd0,0.000772525515324,0.000386262757662,True,26165.274392976244,41.83860651349096,3.841458820694124,
Kd0,0.000772525515324,0.0006759598259085,True,26075.148030116565,0.0,3.841458820694124,
Kd0,0.000772525515324,0.000772525515324,True,26098.19054638008,0.0,3.841458820694124,
Kd0,0.000772525515324,0.0009656568941549999,True,26149.05788202925,25.622095566497592,3.841458820694124,
Kd0,0.000772525515324,0.0012553539624015,True,26339.830099402694,216.3943129399413,3.841458820694124,
Kd0,0.000772525515324,0.001545051030648,True,26498.19681522652,374.761028763769,3.841458820694124,
