,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0,gammaG0,gammaF0
mu0,4116.409164110516,31.52716993482002,-2219.632075236992,31.32561961965204,61.154178365137575,425.0547808531744,404.9604017856264,470.94633308915667,148.07501895621974,980.0365471042301,841.9797726270924,-187.66125715647868,-387.77320178876886,0.0,7.91008205165572,311.849096256354,16.597100848108415
sN,31.52716993482002,0.46790034234717465,-1.5567179862610612,0.3498804647213501,0.5408654765090197,2.705971275123386,3.34175603188523,3.211822829336256,0.9036206144404023,10.335267713264248,6.15404572779401,-1.4893072621061183,-2.7253756773613564,0.0,0.0633767686309005,2.5673878617995824,0.1316138686968894
qN,-2219.632075236992,-1.5567179862610612,2285.2040190482408,-13.256921364890529,-38.33669418361426,-194.30586223835508,-214.4969906390745,-214.25654987806357,-100.4890965278119,-485.62751830306894,-616.5026584714125,110.58375971995707,238.92382407447124,0.0,-5.435553373329409,-142.3130885569587,-7.463009176281556
qXG,31.32561961965204,0.3498804647213501,-13.256921364890529,2.429584307672259,0.8444502246003266,-32.53263436134602,8.111197543611214,-22.759916457642053,-0.7919169857214409,87.85874859218724,20.43085201075357,0.36102992661040945,-3.0472119726623346,0.0,0.3941596236243611,-15.028771995157932,-1.1783452379369193
qXF,61.154178365137575,0.5408654765090197,-38.33669418361426,0.8444502246003266,8.969745236277427,-36.87246542436254,0.11345214740967466,-43.104724809478185,6.621085516194438,39.34321576919748,119.46748712141495,-12.305277800414991,-8.37014535643358,0.0,0.9078365736675355,-1.5531937820367803,-0.13198663903557636
betaG0,425.0547808531744,2.705971275123386,-194.30586223835508,-32.53263436134602,-36.87246542436254,1692.8000029202672,8.206709503895244,1469.2302441458014,71.46147655438092,-1547.9955456813811,-971.3244685778911,-64.62291934639137,-82.12430917957795,0.0,-12.289964136776728,-110.63478512371611,-5.9814022345577165
sG,404.9604017856264,3.34175603188523,-214.4969906390745,8.111197543611214,0.11345214740967466,8.206709503895244,95.79990601669229,64.72729016823664,7.050106442308355,294.89497835733334,2.920284521012438,-10.266233347833193,-57.94055323717481,0.0,0.7685685121647416,82.66294829928972,4.438790875429761
betaF0,470.94633308915667,3.211822829336256,-214.25654987806357,-22.759916457642053,-43.104724809478185,1469.2302441458014,64.72729016823664,1398.995659024839,50.3243593857021,-1194.8836808644335,-1098.8087696209238,-36.24347567806544,-85.5245823331419,0.0,-12.42531417534443,-20.985939626934886,-1.2338476200706026
sF,148.07501895621974,0.9036206144404023,-100.4890965278119,-0.7919169857214409,6.621085516194438,71.46147655438092,7.050106442308355,50.3243593857021,21.030191007056672,-48.09141764018342,98.34638722896015,-18.857825234257078,-28.04994309614802,0.0,0.5501487580941072,3.525685935401612,0.26084062932458657
qEG,980.0365471042301,10.335267713264248,-485.62751830306894,87.85874859218724,39.34321576919748,-1547.9955456813811,294.89497835733334,-1194.8836808644335,-48.09141764018342,3644.4516757942347,1033.3371976949836,22.89774299560401,-97.74683112731206,0.0,18.13322444154915,-767.1009852311676,-61.69581580351714
qEF,841.9797726270924,6.15404572779401,-616.5026584714125,20.43085201075357,119.46748712141495,-971.3244685778911,2.920284521012438,-1098.8087696209238,98.34638722896015,1033.3371976949836,2124.1453713385595,-150.17559479600615,-132.932855059567,0.0,18.555510812984544,-43.48771314948544,-3.734495373428155
iG,-187.66125715647868,-1.4893072621061183,110.58375971995707,0.36102992661040945,-12.305277800414991,-64.62291934639137,-10.266233347833193,-36.24347567806544,-18.857825234257078,22.89774299560401,-150.17559479600615,28.03351929019624,28.565064372045804,0.0,-0.8643534538183554,-2.080484109876353,-0.1266312940087594
iE,-387.77320178876886,-2.7253756773613564,238.92382407447124,-3.0472119726623346,-8.37014535643358,-82.12430917957795,-57.94055323717481,-85.5245823331419,-28.04994309614802,-97.74683112731206,-132.932855059567,28.565064372045804,64.44754612286552,0.0,-1.1478044298807855,-45.43239214467639,-2.5156255700615993
Kd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m0,7.91008205165572,0.0633767686309005,-5.435553373329409,0.3941596236243611,0.9078365736675355,-12.289964136776728,0.7685685121647416,-12.42531417534443,0.5501487580941072,18.13322444154915,18.555510812984544,-0.8643534538183554,-1.1478044298807855,0.0,0.19339135041673094,-2.3492555192338243,-0.19124555559213277
gammaG0,311.849096256354,2.5673878617995824,-142.3130885569587,-15.028771995157932,-1.5531937820367803,-110.63478512371611,82.66294829928972,-20.985939626934886,3.525685935401612,-767.1009852311676,-43.48771314948544,-2.080484109876353,-45.43239214467639,0.0,-2.3492555192338243,1207.5990800534316,84.88872926869587
gammaF0,16.597100848108415,0.1316138686968894,-7.463009176281556,-1.1783452379369193,-0.13198663903557636,-5.9814022345577165,4.438790875429761,-1.2338476200706026,0.26084062932458657,-61.69581580351714,-3.734495373428155,-0.1266312940087594,-2.5156255700615993,0.0,-0.19124555559213277,84.88872926869587,6.3069162184505725
