campaign_order,lot,candidate,event,relative_time_h,datetime,weekday,details,channel,amount,volume_ml,operational,volume_before_ml,volume_after_ml
4,2,synthetic_glucose_rich_fructose_pulse,DO_measurement,0.0,2026-06-29 08:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,2000.0,2000.0
4,2,synthetic_glucose_rich_fructose_pulse,DO_measurement,2.0,2026-06-29 10:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,2000.0,2000.0
4,2,synthetic_glucose_rich_fructose_pulse,full_liquid_sample,2.0,2026-06-29 10:00:00,Monday,ethanol+aromas+full panel,,,50.0,True,2000.0,1950.0
4,2,synthetic_glucose_rich_fructose_pulse,DO_measurement,4.0,2026-06-29 12:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1950.0,1950.0
4,2,synthetic_glucose_rich_fructose_pulse,small_liquid_sample,4.0,2026-06-29 12:00:00,Monday,small panel: biomass/YAN/sugars/glycerol/secondary acids; no ethanol/aromas,,,8.0,True,1950.0,1942.0
4,2,synthetic_glucose_rich_fructose_pulse,DO_measurement,6.0,2026-06-29 14:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1942.0,1942.0
4,2,synthetic_glucose_rich_fructose_pulse,small_liquid_sample,6.0,2026-06-29 14:00:00,Monday,small panel: biomass/YAN/sugars/glycerol/secondary acids; no ethanol/aromas,,,8.0,True,1942.0,1934.0
4,2,synthetic_glucose_rich_fructose_pulse,DO_measurement,8.0,2026-06-29 16:00:00,Monday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1934.0,1934.0
4,2,synthetic_glucose_rich_fructose_pulse,full_liquid_sample,8.0,2026-06-29 16:00:00,Monday,ethanol+aromas+full panel,,,50.0,True,1934.0,1884.0
4,2,synthetic_glucose_rich_fructose_pulse,DO_measurement,26.0,2026-06-30 10:00:00,Tuesday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1884.0,1884.0
4,2,synthetic_glucose_rich_fructose_pulse,full_liquid_sample,26.0,2026-06-30 10:00:00,Tuesday,ethanol+aromas+full panel,,,50.0,True,1884.0,1834.0
4,2,synthetic_glucose_rich_fructose_pulse,manual_pulse,26.0,2026-06-30 10:00:00,Tuesday,manual N addition from stock,N,0.05,4.585,True,1834.0,1838.585
4,2,synthetic_glucose_rich_fructose_pulse,DO_measurement,28.0,2026-06-30 12:00:00,Tuesday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1838.585,1838.585
4,2,synthetic_glucose_rich_fructose_pulse,small_liquid_sample,28.0,2026-06-30 12:00:00,Tuesday,small panel: biomass/YAN/sugars/glycerol/secondary acids; no ethanol/aromas,,,8.0,True,1838.585,1830.585
4,2,synthetic_glucose_rich_fructose_pulse,DO_measurement,30.0,2026-06-30 14:00:00,Tuesday,DO spot measurement; no controlled oxygen pulse,,,0.0,True,1830.585,1830.585
